script,mean_energy,mean_time,group
mergearrays.js,3.2574423970396538,0.2234450418666666,human_gpt
mergearrays.py,1.4960869367180232,0.1050664175666666,human_gpt
queuetime.js,1.96776548158853,0.1426556666333333,human_gpt
queuetime.py,5.353252381201949,0.3441799341333334,human_gpt
sjf.js,0.8782576488326298,0.0636413343,human_gpt
sjf.py,1.2127196363626431,0.0771667890999999,human_gpt
treebylevels.js,0.9184168053803268,0.0664479259333333,human_gpt
treebylevels.py,0.8962854471549233,0.0641071599,human_gpt
mergearrays_gpt.js,3.386462452157687,0.2330704088666666,gpt
mergearrays_gpt.py,1.493833135544903,0.1049451610333333,gpt
queuetime_gpt.js,1.8304675218642832,0.1354868295,gpt
queuetime_gpt.py,2.197861457200317,0.1404765098333333,gpt
sjf_gpt.js,1.7654908394937665,0.1232542976666666,gpt
sjf_gpt.py,3.309298794615124,0.2124834152333333,gpt
treebylevels_gpt.js,0.91519489802247,0.0662780433666666,gpt
treebylevels_gpt.py,0.89760513293646,0.0641279672666666,gpt
mergearrays.js,3.2574423970396538,0.2234450418666666,human_llama
mergearrays.py,1.4960869367180232,0.1050664175666666,human_llama
queuetime.js,1.96776548158853,0.1426556666333333,human_llama
queuetime.py,5.353252381201949,0.3441799341333334,human_llama
sjf.js,0.8782576488326298,0.0636413343,human_llama
sjf.py,1.2127196363626431,0.0771667890999999,human_llama
treebylevels.js,0.9184168053803268,0.0664479259333333,human_llama
treebylevels.py,0.8962854471549233,0.0641071599,human_llama
mergearrays_llama.js,3.437565665741106,0.2374869150666666,llama
mergearrays_llama.py,1.5968315523978234,0.1130788955666666,llama
queuetime_llama.js,1.9438777744355304,0.1429926699666666,llama
queuetime_llama.py,5.40746543291182,0.3474125635333333,llama
sjf_llama.js,1.5161133350082967,0.1131574909666666,llama
sjf_llama.py,3.511352206570031,0.2235825483,llama
treebylevels_llama.js,0.9108558006836632,0.0662868313,llama
treebylevels_llama.py,0.8998213073662836,0.0637983828333333,llama
mergearrays.js,3.2574423970396538,0.2234450418666666,human_qwen
mergearrays.py,1.4960869367180232,0.1050664175666666,human_qwen
queuetime.js,1.96776548158853,0.1426556666333333,human_qwen
queuetime.py,5.353252381201949,0.3441799341333334,human_qwen
sjf.js,0.8782576488326298,0.0636413343,human_qwen
sjf.py,1.2127196363626431,0.0771667890999999,human_qwen
sjf.rs,0.2460658158798166,0.0166705048333333,human_qwen
treebylevels.js,0.9184168053803268,0.0664479259333333,human_qwen
treebylevels.py,0.8962854471549233,0.0641071599,human_qwen
treebylevels.rs,0.19703158637506,0.0136734466,human_qwen
mergearrays_qwen.js,3.229093104104446,0.2224529591333333,qwen
mergearrays_qwen.py,6.972432495889239,0.4257267430666666,qwen
queuetime_qwen.js,1.3450262240894333,0.101093321,qwen
queuetime_qwen.py,5.376249610950436,0.3472334030333333,qwen
sjf_qwen.js,1.7729112672860368,0.1236297190333333,qwen
sjf_qwen.py,1.822084969692624,0.1167581902333333,qwen
sjf_qwen.rs,1.4924077759401972,0.0994951833,qwen
treebylevels_qwen.js,0.91975918009839,0.0664341412333333,qwen
treebylevels_qwen.py,0.6164599661787966,0.0399553293,qwen
treebylevels_qwen.rs,0.19860619572766,0.0138137992666666,qwen
